epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,401.058,3.07536,4.87987,3.94702,2.40586,0.01799,0.01079,0.00738,0.00301,0.01833,0.00981,0.0063,0.0025,3.21905,6.08927,4.9184,2.41577,0.000138813,0.000138813,0.000138813
2,686.421,2.8227,4.62995,3.09253,2.23719,0.11656,0.01113,0.00865,0.00391,0.12664,0.00907,0.009,0.00415,3.62285,6.18271,5.35739,2.97887,0.000272312,0.000272312,0.000272312
3,923.426,2.65634,4.5936,2.79445,2.16382,0.12956,0.01322,0.01144,0.00548,0.22792,0.00962,0.00991,0.0047,3.32051,5.84012,4.4496,2.49096,0.000400307,0.000400307,0.000400307
4,1170.22,2.56781,4.56947,2.69225,2.12327,0.11801,0.01152,0.00993,0.00473,0.23073,0.00931,0.01006,0.00425,3.58433,6.34265,5.7551,2.86176,0.00039223,0.00039223,0.00039223
5,1408.84,2.51388,4.55237,2.63622,2.08577,0.07206,0.01286,0.00995,0.00441,0.12327,0.01035,0.00933,0.00443,3.46767,5.98724,5.68787,2.60171,0.000383974,0.000383974,0.000383974
6,1649.15,2.48408,4.54502,2.61292,2.06339,0.12248,0.01274,0.01019,0.005,0.12519,0.0103,0.00984,0.0043,3.50869,5.96168,6.65662,2.77704,0.000375717,0.000375717,0.000375717
7,1890.6,2.44367,4.52216,2.58736,2.04476,0.06942,0.01219,0.00784,0.00335,0.0693,0.01081,0.00701,0.00244,3.45693,5.78157,6.24279,2.63703,0.00036746,0.00036746,0.00036746
8,2110.09,2.42736,4.52346,2.58108,2.03796,0.07495,0.01396,0.00946,0.00437,0.07509,0.01211,0.00869,0.00346,3.78005,6.01776,6.62058,3.19848,0.000359204,0.000359204,0.000359204
